decision,reason,food_catalog_id,source,food_code,brand_name,maker,name_ko,category,current_recommendation_status,primary_serving_g,candidate_company_tokens,haccp_report_no,haccp_product_name,haccp_manufacture,haccp_seller,haccp_allergy,allergen_tags,haccp_imgurl1,name_match_count,company_match_count,distinct_tag_set_count
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,734,MFDS_STANDARD_PROCESSED,P101-106000100-0117,"",(주)농심,고구마깡,PROCESSED,RECOMMENDABLE,30,농심,2001054954177,고구마깡,(주)농심/서울특별시 동작구 여의대방로 112(신대방동),알수없음,밀 함유,밀,http://www.haccp.or.kr/fresh/prdimg/2001/2001054954177/2001054954177-1.jpg,3,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,736,MFDS_STANDARD_PROCESSED,P101-106000100-7136,"",(주)농심,고구마깡,PROCESSED,RECOMMENDABLE,30,농심,2001054954177,고구마깡,(주)농심/서울특별시 동작구 여의대방로 112(신대방동),알수없음,밀 함유,밀,http://www.haccp.or.kr/fresh/prdimg/2001/2001054954177/2001054954177-1.jpg,3,1,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1017,MFDS_STANDARD_PROCESSED,P117-700060000-0484,"",반햇소 영농조합법인,갈비탕,PROCESSED,RECOMMENDABLE,50,반햇소,2009018900980,갈비탕,농업회사법인㈜비젼푸드/인천광역시 강화군 불은면 해안동로 341번길 98,농업회사법인㈜비젼푸드/인천광역시 강화군 불은면 해안동로 341번길 98,"쇠고기,대두,밀 함유","대두,밀,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2009/2009018900980/2009018900980-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1019,MFDS_STANDARD_PROCESSED,P123-207020300-1536,"",농업회사법인(주)강화드림,갈비탕,PROCESSED,RECOMMENDABLE,50,강화드림,2009018900980,갈비탕,농업회사법인㈜비젼푸드/인천광역시 강화군 불은면 해안동로 341번길 98,농업회사법인㈜비젼푸드/인천광역시 강화군 불은면 해안동로 341번길 98,"쇠고기,대두,밀 함유","대두,밀,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2009/2009018900980/2009018900980-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1052,MFDS_STANDARD_PROCESSED,P107-302030200-0006,"",(주)영미산업,고추맛기름,FAT,RECOMMENDABLE,15,영미산업,19880555008113,고추맛기름,㈜사조해표_경상북도 영천시 화산면 화산공단길17,㈜사조해표_경상북도 영천시 화산면 화산공단길17,대두,대두,http://www.haccp.or.kr/fresh/prdimg/1988/19880555008113/19880555008113-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1054,MFDS_STANDARD_PROCESSED,P107-302030200-0005,"",(주)사조대림,고추맛기름,FAT,RECOMMENDABLE,15,사조대림,19880555008113,고추맛기름,㈜사조해표_경상북도 영천시 화산면 화산공단길17,㈜사조해표_경상북도 영천시 화산면 화산공단길17,대두,대두,http://www.haccp.or.kr/fresh/prdimg/1988/19880555008113/19880555008113-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1056,MFDS_STANDARD_PROCESSED,P107-302030200-0292,"",(주)세진푸드,고추맛기름,FAT,RECOMMENDABLE,15,세진푸드,19880555008113,고추맛기름,㈜사조해표_경상북도 영천시 화산면 화산공단길17,㈜사조해표_경상북도 영천시 화산면 화산공단길17,대두,대두,http://www.haccp.or.kr/fresh/prdimg/1988/19880555008113/19880555008113-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1058,MFDS_STANDARD_PROCESSED,P107-302030200-1166,"",참들식품,고추맛기름,FAT,RECOMMENDABLE,15,참들식품,19880555008113,고추맛기름,㈜사조해표_경상북도 영천시 화산면 화산공단길17,㈜사조해표_경상북도 영천시 화산면 화산공단길17,대두,대두,http://www.haccp.or.kr/fresh/prdimg/1988/19880555008113/19880555008113-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1077,MFDS_STANDARD_PROCESSED,P113-206020400-7666,"",(주)한미에프쓰리 2공장,갈치조림양념,PROCESSED,RECOMMENDABLE,50,한미에프쓰리,200304432171100,갈치조림양념,㈜송림푸드/충북 진천군 덕산면 이덕로 687-33,알수없음,"우유, 대두, 밀, 새우, 오징어, 조개류(굴, 바지락) 함유","우유,대두,밀,새우,오징어,조개류",http://www.haccp.or.kr/fresh/prdimg/2003/200304432171100/200304432171100-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1183,MFDS_STANDARD_PROCESSED,P118-100010700-0012,"",주식회사 감동란,감동란,PROCESSED,RECOMMENDABLE,50,감동란,201304480151,감동란,㈜ 마루카네코리아/충남 논산시 연무읍 동안로 515-9,알 수 없음,계란 함유,난류,http://www.haccp.or.kr/fresh/prdimg/2013/201304480151/201304480151-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1262,MFDS_STANDARD_PROCESSED,P113-206020400-1026,"",(주)오뚜기,고추장 불고기 양념,PROCESSED,RECOMMENDABLE,50,오뚜기,20020464088173,고추장불고기양념,씨제이제일제당㈜/충청남도 논산시 연무읍 죽본2길 16,알수없음,"대두,밀,쇠고기 함유","대두,밀,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2002/20020464088173/20020464088173-1.jpg,2,0,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1355,MFDS_STANDARD_PROCESSED,P109-500050200-0013,"",삼육식품,고소한미숫가루두유,BEVERAGE,RECOMMENDABLE,200,삼육식품,1985044900166,고소한 미숫가루두유,삼육식품F1:충남 천안시 서북구 직산읍 성진로 354-13,알수없음,"대두, 밀 함유","대두,밀",http://www.haccp.or.kr/fresh/prdimg/1985/1985044900166/1985044900166-1.jpg,1,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1384,MFDS_STANDARD_PROCESSED,P113-206020400-1022,"",(주)오뚜기,고등어갈치조림 양념,PROCESSED,RECOMMENDABLE,50,오뚜기,197202880023296,고등어갈치조림 양념,주식회사 오뚜기 경기도 안양시 동안구 흥안대로 405 www.ottogi.co.kr,알수없음,"대두,밀 함유","대두,밀",http://www.haccp.or.kr/fresh/prdimg/1972/197202880023296/197202880023296-1.jpg,1,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1385,MFDS_STANDARD_PROCESSED,P113-206020400-0025,"",(주)오뚜기,고등어갈치조림 양념,PROCESSED,RECOMMENDABLE,50,오뚜기,197202880023296,고등어갈치조림 양념,주식회사 오뚜기 경기도 안양시 동안구 흥안대로 405 www.ottogi.co.kr,알수없음,"대두,밀 함유","대두,밀",http://www.haccp.or.kr/fresh/prdimg/1972/197202880023296/197202880023296-1.jpg,1,1,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1512,MFDS_STANDARD_PROCESSED,P117-700080000-0131,"",주식회사장터,고기완자,PROCESSED,RECOMMENDABLE,50,장터,2008044520812,고기완자,㈜사옹원_충북 음성군 대소면 한삼로 153번길 76-17,_,"계란,돼지고기,대두,밀,쇠고기","난류,대두,밀,돼지고기,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2008/2008044520812/2008044520812-1.jpg,1,0,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1582,MFDS_STANDARD_PROCESSED,P117-501050100-1783,"",주식회사아이탐푸드,고기요양념소불고기,PROCESSED,RECOMMENDABLE,50,아이탐푸드,2005026205228,고기요양념소불고기,㈜아이탐푸드 경기도 화성시 안녕북길 62-1,㈜아이탐푸드 경기도 화성시 안녕북길 62-1,"쇠고기,대두,밀","대두,밀,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2005/2005026205228/2005026205228-1.jpg,1,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1584,MFDS_STANDARD_PROCESSED,P117-501050100-1782,"",주식회사아이탐푸드,고기요양념LA갈비,PROCESSED,RECOMMENDABLE,50,아이탐푸드,2005026205229,고기요양념LA갈비,㈜아이탐푸드 경기도 화성시 안녕북길 62-1,㈜아이탐푸드 경기도 화성시 안녕북길 62-1,"쇠고기,대두,밀","대두,밀,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2005/2005026205229/2005026205229-1.jpg,1,1,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1585,MFDS_STANDARD_PROCESSED,P117-800050200-0010,"",(주)사옹원 대소공장,고기완자,PROCESSED,RECOMMENDABLE,50,사옹원대소,2008044520812,고기완자,㈜사옹원_충북 음성군 대소면 한삼로 153번길 76-17,_,"계란,돼지고기,대두,밀,쇠고기","난류,대두,밀,돼지고기,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2008/2008044520812/2008044520812-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1587,MFDS_STANDARD_PROCESSED,P117-800050200-0009,"",(주)사조오양 금산공장,고기완자,PROCESSED,RECOMMENDABLE,50,사조오양금산,2008044520812,고기완자,㈜사옹원_충북 음성군 대소면 한삼로 153번길 76-17,_,"계란,돼지고기,대두,밀,쇠고기","난류,대두,밀,돼지고기,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2008/2008044520812/2008044520812-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1639,MFDS_STANDARD_PROCESSED,P123-302030100-3251,"",(주)취영루,고기손만두,PROCESSED,RECOMMENDABLE,150,취영루,2004035558019,고기손만두,오뚜기냉동식품주식회사 경기도 파주시 파주읍 파발로65,주식회사오뚜기 경기도 안양시 동안구 흥안대로405 www.ottogi.co.kr,"밀, 대두, 돼지고기, 조개류(굴)함유","대두,밀,돼지고기,조개류",http://www.haccp.or.kr/fresh/prdimg/2004/2004035558019/2004035558019-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1677,MFDS_STANDARD_PROCESSED,P108-011000200-0241,"",칠갑농산주식회사,가쓰오우동,PROCESSED,RECOMMENDABLE,50,칠갑농산,19880445009916,가쓰오 우동,㈜피피이씨음성생면/충북 음성군 대소면 삼양로 730-27,풀무원식품㈜/충북 음성군 대소면 삼양로 730-27,"대두,밀,쇠고기,새우,난류,우유함유","난류,우유,대두,밀,새우,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1988/19880445009916/19880445009916-1.jpg,4,0,3
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1699,MFDS_STANDARD_PROCESSED,P108-011000200-0016,"",씨제이제일제당㈜,가쓰오우동,PROCESSED,RECOMMENDABLE,50,씨제이제일제당,19880445009916,가쓰오 우동,㈜피피이씨음성생면/충북 음성군 대소면 삼양로 730-27,풀무원식품㈜/충북 음성군 대소면 삼양로 730-27,"대두,밀,쇠고기,새우,난류,우유함유","난류,우유,대두,밀,새우,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1988/19880445009916/19880445009916-1.jpg,4,0,3
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1701,MFDS_STANDARD_PROCESSED,P108-011000200-0017,"",(주)피피이씨,가쓰오우동,PROCESSED,RECOMMENDABLE,50,피피이씨,19880445009916,가쓰오 우동,㈜피피이씨음성생면/충북 음성군 대소면 삼양로 730-27,풀무원식품㈜/충북 음성군 대소면 삼양로 730-27,"대두,밀,쇠고기,새우,난류,우유함유","난류,우유,대두,밀,새우,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1988/19880445009916/19880445009916-1.jpg,4,2,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1703,MFDS_STANDARD_PROCESSED,P108-011000200-0402,"",주식회사에스피씨삼립,가쓰오우동,PROCESSED,RECOMMENDABLE,50,에스피씨삼립,19880445009916,가쓰오 우동,㈜피피이씨음성생면/충북 음성군 대소면 삼양로 730-27,풀무원식품㈜/충북 음성군 대소면 삼양로 730-27,"대두,밀,쇠고기,새우,난류,우유함유","난류,우유,대두,밀,새우,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1988/19880445009916/19880445009916-1.jpg,4,0,3
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1705,MFDS_STANDARD_PROCESSED,P108-011000200-0465,"",(주)이가자연면,가쓰오우동,PROCESSED,RECOMMENDABLE,50,이가자연면,19880445009916,가쓰오 우동,㈜피피이씨음성생면/충북 음성군 대소면 삼양로 730-27,풀무원식품㈜/충북 음성군 대소면 삼양로 730-27,"대두,밀,쇠고기,새우,난류,우유함유","난류,우유,대두,밀,새우,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1988/19880445009916/19880445009916-1.jpg,4,0,3
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1707,MFDS_STANDARD_PROCESSED,P108-011000200-0472,"",(주)피피이씨,가쓰오우동,PROCESSED,RECOMMENDABLE,50,피피이씨,19880445009916,가쓰오 우동,㈜피피이씨음성생면/충북 음성군 대소면 삼양로 730-27,풀무원식품㈜/충북 음성군 대소면 삼양로 730-27,"대두,밀,쇠고기,새우,난류,우유함유","난류,우유,대두,밀,새우,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1988/19880445009916/19880445009916-1.jpg,4,2,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,1792,MFDS_STANDARD_PROCESSED,P101-106000100-1032,"",(주)농심,秀美칩허니머스타드,PROCESSED,RECOMMENDABLE,30,농심,1991046110180,秀美칩 허니머스타드,알수없음,㈜농심 본사: 서울특별시 동작구 여의대방로 112(신대방동),"우유,대두,밀 함유","우유,대두,밀",http://www.haccp.or.kr/fresh/prdimg/1991/1991046110180/1991046110180-1.jpg,1,0,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1873,MFDS_STANDARD_PROCESSED,P109-801080100-0093,"",롯데칠성음료(주),가나초코라떼,BEVERAGE,RECOMMENDABLE,200,롯데칠성음료,19780614001233,가나초코라떼,롯데칠성음료㈜_경상남도 양산시 북정공단1길 28,_,우유,우유,http://www.haccp.or.kr/fresh/prdimg/1978/19780614001233/19780614001233-1.jpg,1,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,1880,MFDS_STANDARD_PROCESSED,P101-403000400-0021,"",더브레드블루,고구마바게트(냉동),PROCESSED,RECOMMENDABLE,70,더브레드블루,20170080929184,고구마바게트(냉동),(팩토리)더브레드블루,"","밀,대두,호두","대두,밀,호두",http://www.haccp.or.kr/fresh/prdimg/2017/20170080929184/20170080929184-1.png,1,1,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,2226,MFDS_STANDARD_PROCESSED,P101-106000100-7135,"",(주)농심,감자깡,PROCESSED,RECOMMENDABLE,30,농심,19760342001134,감자깡,알수없음,농심/본사:서울특별시 동작구 여의대방로 112(신대방동),"밀,대두,우유,돼지고기,쇠고기 함유","우유,대두,밀,돼지고기,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1976/19760342001134/19760342001134-1.jpg,2,2,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,2256,MFDS_STANDARD_PROCESSED,P101-106000100-0075,"",(주)농심,감자깡,PROCESSED,RECOMMENDABLE,30,농심,19760342001134,감자깡,알수없음,농심/본사:서울특별시 동작구 여의대방로 112(신대방동),"밀,대두,우유,돼지고기,쇠고기 함유","우유,대두,밀,돼지고기,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1976/19760342001134/19760342001134-1.jpg,2,2,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,2258,MFDS_STANDARD_PROCESSED,P101-106000100-6264,"",(주)농심,감자깡,PROCESSED,RECOMMENDABLE,30,농심,19760342001134,감자깡,알수없음,농심/본사:서울특별시 동작구 여의대방로 112(신대방동),"밀,대두,우유,돼지고기,쇠고기 함유","우유,대두,밀,돼지고기,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1976/19760342001134/19760342001134-1.jpg,2,2,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,2260,MFDS_STANDARD_PROCESSED,P101-104000100-2334,"",(주)농심,감자깡,PROCESSED,RECOMMENDABLE,30,농심,19760342001134,감자깡,알수없음,농심/본사:서울특별시 동작구 여의대방로 112(신대방동),"밀,대두,우유,돼지고기,쇠고기 함유","우유,대두,밀,돼지고기,쇠고기",http://www.haccp.or.kr/fresh/prdimg/1976/19760342001134/19760342001134-1.jpg,2,2,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,2344,MFDS_STANDARD_PROCESSED,P123-302030100-3127,"",나래식품주식회사,고기손만두,PROCESSED,RECOMMENDABLE,150,나래식품,2004035558019,고기손만두,오뚜기냉동식품주식회사 경기도 파주시 파주읍 파발로65,주식회사오뚜기 경기도 안양시 동안구 흥안대로405 www.ottogi.co.kr,"밀, 대두, 돼지고기, 조개류(굴)함유","대두,밀,돼지고기,조개류",http://www.haccp.or.kr/fresh/prdimg/2004/2004035558019/2004035558019-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,2346,MFDS_STANDARD_PROCESSED,P123-302030100-1707,"",GSS푸드곽선생왕만두,고기손만두,PROCESSED,RECOMMENDABLE,150,gss푸드곽선생왕만두,2004035558019,고기손만두,오뚜기냉동식품주식회사 경기도 파주시 파주읍 파발로65,주식회사오뚜기 경기도 안양시 동안구 흥안대로405 www.ottogi.co.kr,"밀, 대두, 돼지고기, 조개류(굴)함유","대두,밀,돼지고기,조개류",http://www.haccp.or.kr/fresh/prdimg/2004/2004035558019/2004035558019-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,2348,MFDS_STANDARD_PROCESSED,P123-302030100-1706,"",준푸드,고기손만두,PROCESSED,RECOMMENDABLE,150,준푸드,2004035558019,고기손만두,오뚜기냉동식품주식회사 경기도 파주시 파주읍 파발로65,주식회사오뚜기 경기도 안양시 동안구 흥안대로405 www.ottogi.co.kr,"밀, 대두, 돼지고기, 조개류(굴)함유","대두,밀,돼지고기,조개류",http://www.haccp.or.kr/fresh/prdimg/2004/2004035558019/2004035558019-1.jpg,1,0,1
APPLY,제품명과 제조사/판매사 맥락이 일치하고 알러젠 세트가 하나로 수렴한다.,2368,MFDS_STANDARD_PROCESSED,P109-303030300-0033,"",웅진식품(주),가야농장복숭아농장,BEVERAGE,RECOMMENDABLE,200,웅진식품,19960458039413,가야농장 복숭아농장,웅진식품㈜/충남 공주시 유구읍 유구마곡사로 136-24,웅진식품㈜/충남 공주시 유구읍 유구마곡사로 136-24,복숭아 함유,복숭아,http://www.haccp.or.kr/fresh/prdimg/1996/19960458039413/19960458039413-1.jpg,1,1,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,2585,MFDS_STANDARD_PROCESSED,P101-409000400-0053,"",나폴레옹베이커리유통(주),고구마무스,PROCESSED,RECOMMENDABLE,70,나폴레옹베이커리유통,200303324705,고구마무스,㈜네오스푸드시스템/경기도 남양주시 화도읍 마치로 284번길 41,㈜네오스푸드시스템/경기도 남양주시 화도읍 마치로 284번길 41,"대두,계란,쇠고기 함유","난류,대두,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2003/200303324705/200303324705-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,2588,MFDS_STANDARD_PROCESSED,P101-106000100-3845,"",주식회사올곧은,구운두부과자,PROCESSED,RECOMMENDABLE,30,올곧은,20030221351122,구운두부과자,씨튼장애인직업재활센터(씨튼베이커리)_광주광역시 북구 앰코로 123,_,"밀,대두,계란","난류,대두,밀",http://www.haccp.or.kr/fresh/prdimg/2003/20030221351122/20030221351122-1.jpg,1,0,1
REVIEW_NAME_ONLY,제품명은 일치하지만 제조사/판매사 맥락이 확인되지 않았다.,2606,MFDS_STANDARD_PROCESSED,P101-409000400-0052,"",(주)파미유,고구마무스,PROCESSED,RECOMMENDABLE,70,파미유,200303324705,고구마무스,㈜네오스푸드시스템/경기도 남양주시 화도읍 마치로 284번길 41,㈜네오스푸드시스템/경기도 남양주시 화도읍 마치로 284번길 41,"대두,계란,쇠고기 함유","난류,대두,쇠고기",http://www.haccp.or.kr/fresh/prdimg/2003/200303324705/200303324705-1.jpg,1,0,1
